smart contract path,number of bugs detected
reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e/0x941d225236464a25eb18076df7da6a91d0f95e9e.metadata.json,2
reentrancy/spank_chain_payment/spank_chain_payment.metadata.json,12
reentrancy/0x8c7777c45481dba411450c228cb692ac3d550344/0x8c7777c45481dba411450c228cb692ac3d550344.metadata.json,1
reentrancy/etherstore/etherstore.metadata.json,3
reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.metadata.json,1
reentrancy/reentrance/reentrance.metadata.json,2
reentrancy/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.metadata.json,1
reentrancy/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.metadata.json,1
reentrancy/reentrancy_dao/reentrancy_dao.metadata.json,1
reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615/0x7541b76cb60f4c60af330c208b0623b7f54bf615.metadata.json,1
reentrancy/0x561eac93c92360949ab1f1403323e6db345cbf31/0x561eac93c92360949ab1f1403323e6db345cbf31.metadata.json,1
reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.metadata.json,3
time_manipulation/ether_lotto/ether_lotto.metadata.json,1
time_manipulation/governmental_survey/governmental_survey.metadata.json,2
front_running/odds_and_evens/odds_and_evens.metadata.json,3
access_control/arbitrary_location_write_simple/arbitrary_location_write_simple.metadata.json,4
access_control/wallet_04_confused_sign/wallet_04_confused_sign.metadata.json,1
access_control/parity_wallet_bug_1/parity_wallet_bug_1.metadata.json,3
