smart contract path, number of bugs detected
smartbugs-curated/dataset/denial_of_service/list_dos.sol,4
smartbugs-curated/dataset/reentrancy/reentrancy_simple.sol,2
smartbugs-curated/dataset/reentrancy/etherbank.sol,1
smartbugs-curated/dataset/reentrancy/0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,1
smartbugs-curated/dataset/reentrancy/0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,1
smartbugs-curated/dataset/reentrancy/reentrancy_insecure.sol,1
smartbugs-curated/dataset/reentrancy/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,3
smartbugs-curated/dataset/reentrancy/reentrancy_bonus.sol,3
smartbugs-curated/dataset/reentrancy/reentrancy_cross_function.sol,2
smartbugs-curated/dataset/reentrancy/0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,1
smartbugs-curated/dataset/reentrancy/simple_dao.sol,5
smartbugs-curated/dataset/reentrancy/etherstore.sol,3
smartbugs-curated/dataset/reentrancy/reentrance.sol,5
smartbugs-curated/dataset/reentrancy/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,1
smartbugs-curated/dataset/reentrancy/reentrancy_dao.sol,4
smartbugs-curated/dataset/reentrancy/0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,1
smartbugs-curated/dataset/reentrancy/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,3
smartbugs-curated/dataset/reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,3
smartbugs-curated/dataset/time_manipulation/ether_lotto.sol,2
smartbugs-curated/dataset/time_manipulation/roulette.sol,1
smartbugs-curated/dataset/time_manipulation/governmental_survey.sol,2
smartbugs-curated/dataset/short_addresses/short_address_example.sol,1
smartbugs-curated/dataset/front_running/odds_and_evens.sol,4
smartbugs-curated/dataset/other/crypto_roulette.sol,4
smartbugs-curated/dataset/access_control/arbitrary_location_write_simple.sol,1
smartbugs-curated/dataset/access_control/incorrect_constructor_name3.sol,1
smartbugs-curated/dataset/access_control/parity_wallet_bug_2.sol,6
smartbugs-curated/dataset/access_control/phishable.sol,1
smartbugs-curated/dataset/access_control/FibonacciBalance.sol,2
smartbugs-curated/dataset/access_control/proxy.sol,1
smartbugs-curated/dataset/access_control/incorrect_constructor_name2.sol,1
smartbugs-curated/dataset/access_control/wallet_04_confused_sign.sol,2
smartbugs-curated/dataset/access_control/rubixi.sol,2
smartbugs-curated/dataset/access_control/simple_suicide.sol,1
smartbugs-curated/dataset/access_control/incorrect_constructor_name1.sol,1
smartbugs-curated/dataset/access_control/mapping_write.sol,1
smartbugs-curated/dataset/access_control/wallet_03_wrong_constructor.sol,1
smartbugs-curated/dataset/access_control/mycontract.sol,1
