file1,file2,diff
reentrancy/etherstore/etherstore.rt.hex,reentrancy/etherstore/etherstore.bin,True
reentrancy/modifier_reentrancy/modifier_reentrancy.rt.hex,reentrancy/modifier_reentrancy/modifier_reentrancy.bin,False
reentrancy/reentrance/reentrance.rt.hex,reentrancy/reentrance/reentrance.bin,True
reentrancy/reentrancy_bonus/reentrancy_bonus.rt.hex,reentrancy/reentrancy_bonus/reentrancy_bonus.bin,True
reentrancy/reentrancy_cross_function/reentrancy_cross_function.rt.hex,reentrancy/reentrancy_cross_function/reentrancy_cross_function.bin,True
reentrancy/reentrancy_dao/reentrancy_dao.rt.hex,reentrancy/reentrancy_dao/reentrancy_dao.bin,True
reentrancy/reentrancy_insecure/reentrancy_insecure.rt.hex,reentrancy/reentrancy_insecure/reentrancy_insecure.bin,True
reentrancy/reentrancy_simple/reentrancy_simple.rt.hex,reentrancy/reentrancy_simple/reentrancy_simple.bin,True
reentrancy/simple_dao/simple_dao.rt.hex,reentrancy/simple_dao/simple_dao.bin,True
short_addresses/short_address_example/short_address_example.rt.hex,short_addresses/short_address_example/short_address_example.bin,True
time_manipulation/ether_lotto/ether_lotto.rt.hex,time_manipulation/ether_lotto/ether_lotto.bin,True
time_manipulation/governmental_survey/governmental_survey.rt.hex,time_manipulation/governmental_survey/governmental_survey.bin,True
time_manipulation/lottopollo/lottopollo.rt.hex,time_manipulation/lottopollo/lottopollo.bin,False
time_manipulation/roulette/roulette.rt.hex,time_manipulation/roulette/roulette.bin,True
time_manipulation/timed_crowdsale/timed_crowdsale.rt.hex,time_manipulation/timed_crowdsale/timed_crowdsale.bin,False
unchecked_low_level_calls/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.rt.hex,unchecked_low_level_calls/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.bin,True
unchecked_low_level_calls/0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9/0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.rt.hex,unchecked_low_level_calls/0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9/0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.bin,True
unchecked_low_level_calls/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.rt.hex,unchecked_low_level_calls/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.bin,True
unchecked_low_level_calls/0x2972d548497286d18e92b5fa1f8f9139e5653fd2/0x2972d548497286d18e92b5fa1f8f9139e5653fd2.rt.hex,unchecked_low_level_calls/0x2972d548497286d18e92b5fa1f8f9139e5653fd2/0x2972d548497286d18e92b5fa1f8f9139e5653fd2.bin,True
