Unnamed: 0,Patch,Original,Category,Tool,DIFF,COMP,Detected,Fixed,Consistent,sanity_check,mitigates,patch_link,original_link,diff_link,exploit_link
745,old_blockhash_3round.sol,old_blockhash.sol,bad_randomness,SolGPT,True,True,0.0,0.0,False,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/bad_randomness/old_blockhash/old_blockhash_3round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/bad_randomness/old_blockhash.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/bad_randomness/old_blockhash/old_blockhash_3round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/bad_randomness/old_blockhash_test.js
746,old_blockhash_1round.sol,old_blockhash.sol,bad_randomness,SolGPT,True,True,0.0,0.0,False,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/bad_randomness/old_blockhash/old_blockhash_1round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/bad_randomness/old_blockhash.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/bad_randomness/old_blockhash/old_blockhash_1round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/bad_randomness/old_blockhash_test.js
747,old_blockhash_2round.sol,old_blockhash.sol,bad_randomness,SolGPT,True,True,0.0,0.0,False,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/bad_randomness/old_blockhash/old_blockhash_2round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/bad_randomness/old_blockhash.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/bad_randomness/old_blockhash/old_blockhash_2round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/bad_randomness/old_blockhash_test.js
763,blackjack_3round.sol,blackjack.sol,bad_randomness,SolGPT,True,True,1.0,1.0,True,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/bad_randomness/blackjack/blackjack_3round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/bad_randomness/blackjack.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/bad_randomness/blackjack/blackjack_3round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/bad_randomness/blackjack_test.js
764,etheraffle_3round.sol,etheraffle.sol,bad_randomness,SolGPT,True,True,0.0,0.0,False,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/bad_randomness/etheraffle/etheraffle_3round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/bad_randomness/etheraffle.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/bad_randomness/etheraffle/etheraffle_3round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/bad_randomness/etheraffle_test.js
765,etheraffle_4round.sol,etheraffle.sol,bad_randomness,SolGPT,True,True,0.0,0.0,False,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/bad_randomness/etheraffle/etheraffle_4round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/bad_randomness/etheraffle.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/bad_randomness/etheraffle/etheraffle_4round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/bad_randomness/etheraffle_test.js
767,etheraffle_1round.sol,etheraffle.sol,bad_randomness,SolGPT,True,True,0.0,0.0,False,passed,yes,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/bad_randomness/etheraffle/etheraffle_1round.sol,https://github.com/smartbugs/smartbugs-curated/tree/main/dataset/bad_randomness/etheraffle.sol,https://github.com/ASSERT-KTH/RepairComp/blob/main/results/smartbugs/SolGPT/bad_randomness/etheraffle/etheraffle_1round.diff,https://github.com/ASSERT-KTH/sb-heists/tree/main/smartbugs-curated/0.4.x/test/bad_randomness/etheraffle_test.js
