Category,Elysium,sGuard,sGuardPlus,SmartFix,SmartShield,SolGPT,TIPS,Total .sol Files
access_control,17,13,8,13,15,17,17,18
arithmetic,15,2,11,13,15,14,15,15
bad_randomness,8,4,1,5,8,8,7,8
denial_of_service,6,2,2,2,3,6,6,6
front_running,4,3,1,3,4,4,4,4
other,1,2,0,2,3,3,3,3
reentrancy,18,31,28,28,30,31,31,31
short_addresses,1,0,0,0,1,1,1,1
time_manipulation,5,4,2,3,5,4,5,5
unchecked_low_level_calls,51,48,28,17,50,51,51,52
Total # contracts with a patch,126,109,81,86,134,139,140,143
